qid,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
115615,10.77,0,10.77,1.54,4.62,0,13.85,0,1.54,0,0,12.31,0,1.54,0,4.62,3.08,7.69,21.54,12.31,1.54,7.69,0,1.54,0,0,0,0,0,0
115670,1.85,1.85,0,0,0,0,1.85,0,0,0,1.85,1.85,0,1.85,0,0,0,0,3.7,0,3.7,1.85,1.85,0,1.85,12.96,0,7.41,0,0
115704,2.08,2.08,0,0,0,0,4.17,0,0,0,2.08,2.08,0,2.08,0,0,0,0,2.08,0,0,2.08,0,0,2.08,0,0,12.5,0,0
117113,3.12,0,3.12,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,3.12,0,15.62,0,0,9.38,0,0,0,0,6.25
117956,6.58,0,6.58,0,0,3.95,2.63,0,0,1.32,0,5.26,1.32,1.32,1.32,1.32,0,0,3.95,0,1.32,2.63,0,1.32,1.32,0,0,0,0,0
121660,1.89,1.89,0,0,0,0,11.32,1.89,0,0,3.77,13.21,3.77,1.89,0,7.55,0,3.77,11.32,0,7.55,0,0,3.77,3.77,0,0,1.89,0,0
132125,8.22,6.85,1.37,0,1.37,0,12.33,0,0,1.37,5.48,31.51,6.85,10.96,0,1.37,5.48,6.85,9.59,0,6.85,2.74,0,0,0,0,0,0,0,0
133167,10.81,5.41,2.7,0,2.7,0,2.7,0,0,0,0,10.81,8.11,0,0,2.7,0,2.7,10.81,2.7,0,8.11,0,0,0,0,0,0,2.7,0
134223,4.6,1.15,3.45,0,0,1.15,4.6,0,0,1.15,0,11.49,5.75,3.45,0,2.3,1.15,0,4.6,1.15,1.15,2.3,1.15,0,0,2.3,0,1.15,0,0
139304,5.26,5.26,0,0,0,0,7.89,0,0,0,5.26,13.16,5.26,0,0,7.89,0,2.63,2.63,0,0,2.63,0,0,5.26,2.63,0,0,0,0
141057,8.33,8.33,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,4.17,4.17,0,0,0
141143,2.5,2.5,0,0,0,0,0,0,0,0,0,2.5,2.5,0,0,0,0,0,15,2.5,0,12.5,0,0,7.5,0,0,2.5,0,0
141399,0,0,0,0,0,0,1.37,0,0,0,1.37,5.48,2.74,1.37,0,1.37,0,0,6.85,0,2.74,4.11,0,0,6.85,5.48,0,4.11,0,0
142630,0,0,0,0,0,0,2.22,0,0,0,2.22,2.22,0,2.22,0,0,0,0,2.22,0,2.22,0,0,0,8.89,0,0,2.22,0,0
143293,4,4,0,0,0,0,10,2,0,0,10,0,0,0,0,0,0,0,10,2,2,6,2,0,0,2,0,0,0,2
143388,4.35,4.35,0,0,0,0,2.17,2.17,0,0,2.17,4.35,0,2.17,0,0,2.17,0,6.52,2.17,2.17,0,2.17,0,0,0,0,0,0,0
143847,3.39,1.69,1.69,0,0,0,11.86,3.39,0,0,10.17,3.39,1.69,0,0,0,0,1.69,5.08,0,0,1.69,1.69,1.69,3.39,3.39,0,1.69,0,3.39
143849,1.35,0,0,0,0,0,10.81,0,0,0,4.05,4.05,0,0,0,0,0,4.05,2.7,0,0,2.7,0,0,8.11,0,0,4.05,0,0
144028,5.17,3.45,1.72,0,0,1.72,12.07,1.72,0,0,5.17,1.72,0,1.72,0,0,0,0,6.9,3.45,1.72,1.72,1.72,0,1.72,1.72,1.72,0,0,5.17
144254,5.26,5.26,0,0,0,0,7.89,0,0,0,0,15.79,2.63,2.63,0,2.63,0,10.53,2.63,0,0,2.63,0,0,0,0,0,0,13.16,0
144289,4.17,4.17,0,0,0,0,2.08,0,0,0,0,18.75,8.33,2.08,0,2.08,6.25,0,0,0,0,0,0,0,2.08,2.08,2.08,0,0,0
144491,0,0,0,0,0,0,3.57,0,0,0,3.57,9.52,0,1.19,0,1.19,1.19,7.14,1.19,0,1.19,1.19,0,0,2.38,19.05,0,0,0,0
144528,11.36,0,11.36,0,9.09,0,6.82,0,0,0,6.82,4.55,4.55,0,0,0,0,0,6.82,0,0,4.55,2.27,0,4.55,4.55,2.27,0,0,4.55
144547,2.02,1.01,1.01,0,0,0.51,13.64,6.06,0,2.02,8.59,3.03,1.01,0,1.01,1.01,0.51,0.51,4.55,2.02,1.52,1.01,0,0,0.51,3.03,0,0,0,0.51
144682,5.66,5.66,0,0,0,0,0,0,0,0,0,3.77,0,3.77,0,0,0,0,13.21,0,5.66,7.55,1.89,0,5.66,0,0,0,0,0
144698,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,4.35,0,0,4.35,0,0,0,0,0
144729,5.56,0,5.56,1.85,3.7,0,20.37,5.56,1.85,5.56,9.26,5.56,0,1.85,0,0,1.85,1.85,7.41,5.56,0,1.85,0,0,0,1.85,0,0,0,3.7
144760,2.04,2.04,0,0,0,0,10.2,2.04,0,0,4.08,2.04,2.04,2.04,0,0,0,0,8.16,2.04,0,4.08,0,2.04,0,0,4.08,2.04,0,0
144817,6.9,5.17,1.72,1.72,0,0,12.07,0,0,0,6.9,3.45,0,0,0,1.72,0,3.45,17.24,1.72,0,12.07,0,3.45,8.62,1.72,0,0,0,0
145788,3.03,3.03,0,0,0,0,6.06,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,3.03
145821,0,0,0,0,0,0,12.5,0,0,0,9.62,1.92,0,1.92,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0
151458,3.85,3.85,0,0,0,0,11.54,0,0,0,0,3.85,0,0,0,3.85,0,0,7.69,0,0,3.85,0,3.85,7.69,0,3.85,3.85,0,0
153588,0,0,0,0,0,0,2.27,0,0,0,0,4.55,0,0,0,2.27,2.27,2.27,0,0,0,0,0,0,0,0,0,0,0,0
156499,12.24,10.2,2.04,0,0,0,8.16,0,0,0,2.04,8.16,0,0,4.08,0,2.04,2.04,10.2,4.08,2.04,4.08,0,0,4.08,6.12,0,0,0,0
167436,4.92,3.28,1.64,0,0,1.64,16.39,3.28,0,0,8.2,13.11,6.56,0,0,0,1.64,4.92,8.2,1.64,3.28,3.28,3.28,1.64,0,0,0,1.64,0,0
167875,5.41,0,5.41,2.7,0,0,2.7,0,0,0,0,13.51,5.41,5.41,2.7,0,0,0,8.11,0,0,8.11,0,0,0,2.7,0,0,0,0
167994,3.25,2.44,0.81,0.81,0,0,6.5,0,0,0.81,4.07,4.07,0.81,1.63,0,0,0.81,0.81,4.07,0,1.63,2.44,1.63,0.81,1.63,2.44,0,0,0,0
170045,4.55,0,4.55,0,0,0,4.55,0,0,2.27,2.27,11.36,0,0,4.55,6.82,0,4.55,4.55,0,0,0,0,4.55,0,0,0,0,0,0
175407,0,0,0,0,0,0,9.38,0,0,0,4.69,0,0,0,0,0,0,0,6.25,0,3.12,3.12,0,0,6.25,0,0,0,0,0
175421,0,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175433,0,0,0,0,0,0,2.94,0,2.94,0,0,2.94,2.94,0,0,0,0,0,0,0,0,0,0,0,8.82,0,0,0,0,0
177149,4.88,4.88,0,0,0,0,2.44,0,0,0,0,7.32,2.44,4.88,0,0,0,0,12.2,2.44,9.76,4.88,4.88,0,7.32,7.32,0,0,0,0
178136,4.11,0,4.11,0,2.74,1.37,2.74,0,0,0,0,4.11,0,1.37,0,2.74,0,0,5.48,0,1.37,4.11,0,0,1.37,1.37,0,0,0,2.74
178591,3.19,1.06,2.13,0,0,0,8.51,0,0,3.19,3.19,18.09,4.26,4.26,0,9.57,0,2.13,1.06,0,1.06,1.06,0,0,1.06,0,0,0,0,0
179269,2.17,2.17,0,0,0,0,0,0,0,0,0,4.35,2.17,2.17,2.17,0,0,0,17.39,0,8.7,6.52,2.17,0,8.7,0,0,4.35,0,0
179298,2.44,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,4.88,0,0,0,4.88,0,0,7.32,0
179353,3.92,3.92,0,0,0,0,7.84,0,0,1.96,1.96,13.73,1.96,3.92,0,7.84,0,5.88,11.76,1.96,0,9.8,0,0,7.84,0,0,0,0,0
180811,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2.5,2.5,0,0,7.5,7.5,2.5,0,0,0
181194,0,0,0,0,0,0,0,0,0,0,0,12.24,0,8.16,0,2.04,0,4.08,4.08,0,0,4.08,0,0,8.16,0,0,0,0,0
185063,12.82,7.69,5.13,0,2.56,0,7.69,0,0,0,2.56,0,0,0,0,0,0,0,2.56,0,0,2.56,0,0,0,2.56,0,0,0,5.13
186650,0,0,0,0,0,0,0,0,0,0,0,1.32,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21
188544,12.5,7.81,4.69,0,4.69,0,4.69,0,0,0,0,0,0,0,0,0,0,0,15.62,1.56,4.69,10.94,3.12,0,4.69,3.12,4.69,0,0,4.69
188762,7.87,5.62,2.25,1.12,1.12,0,1.12,0,0,0,1.12,8.99,2.25,0,0,2.25,3.37,1.12,7.87,0,1.12,3.37,2.25,2.25,3.37,0,0,1.12,1.12,1.12
189154,5.71,2.86,2.86,0,2.86,0,0,0,0,0,0,11.43,2.86,0,0,2.86,2.86,5.71,5.71,0,0,0,2.86,2.86,0,0,0,0,2.86,2.86
189327,1.89,0,1.89,0,0,0,0,0,0,0,0,11.32,0,1.89,3.77,5.66,0,5.66,3.77,0,0,0,1.89,1.89,0,0,0,0,0,0
191502,4.76,4.76,0,0,0,0,12.7,1.59,0,0,7.94,0,0,0,0,0,0,0,7.94,4.76,0,3.17,0,0,0,4.76,3.17,1.59,0,0
192896,10.53,0,10.53,0,5.26,2.63,2.63,0,0,0,0,7.89,0,5.26,0,2.63,0,0,5.26,0,2.63,0,0,2.63,2.63,7.89,0,2.63,2.63,0
193866,0,0,0,0,0,0,5.48,0,0,0,1.37,1.37,0,1.37,0,0,0,0,13.7,4.11,1.37,8.22,0,0,16.44,0,0,5.48,0,0
194430,4.82,3.61,1.2,0,1.2,0,3.61,0,1.2,0,2.41,3.61,1.2,2.41,0,0,0,0,7.23,0,3.61,4.82,1.2,0,10.84,2.41,0,2.41,0,1.2
196453,12.07,12.07,0,0,0,0,3.45,0,0,0,1.72,5.17,0,1.72,0,1.72,1.72,0,10.34,0,8.62,6.9,8.62,0,6.9,3.45,0,1.72,1.72,0
197574,5.41,5.41,0,0,0,0,5.41,0,2.7,0,0,0,0,0,0,0,0,0,10.81,2.7,2.7,8.11,2.7,0,2.7,2.7,0,0,0,0
198916,3.57,0,3.57,0,0,1.79,7.14,0,0,0,5.36,7.14,1.79,0,1.79,1.79,1.79,3.57,10.71,0,0,8.93,1.79,0,14.29,0,0,7.14,0,0
200808,0,0,0,0,0,0,4.88,0,0,0,4.88,0,0,0,0,0,0,0,9.76,0,0,7.32,2.44,0,4.88,2.44,0,0,0,0
200883,3.33,1.67,1.67,0,0,1.67,6.67,0,0,0,3.33,1.67,1.67,0,0,0,0,0,8.33,3.33,1.67,5,1.67,0,0,5,0,0,0,0
201140,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0
203317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,2.27,0,2.27,2.27,2.27,0,0,0
204006,0,0,0,0,0,0,10,2,0,0,4,4,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0
204854,5.71,5.71,0,0,0,0,14.29,0,0,0,5.71,17.14,0,0,0,11.43,0,5.71,5.71,0,2.86,2.86,0,0,0,0,0,0,0,0
205170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,9.38,0,0,3.12,0,0,0,0,0
205675,9.8,7.84,1.96,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,0,3.92,7.84,1.96,7.84,0,5.88,0,5.88,5.88,0,0,0,0
205902,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,2,2,0,0,2,0,0,2,6,0,4,0,0
209369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0
211574,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12,0,0,3.12,0,0,0,0,0,0,0,6.25
211976,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,4.55,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0
213307,4.65,4.65,0,0,0,0,6.98,0,0,0,6.98,18.6,2.33,9.3,2.33,2.33,0,4.65,13.95,0,4.65,6.98,2.33,2.33,4.65,0,0,0,0,0
213660,1.89,0,1.89,0,1.89,0,9.43,0,0,0,5.66,5.66,3.77,0,1.89,0,0,0,3.77,0,0,3.77,0,0,1.89,0,0,3.77,1.89,0
214611,6.06,3.03,3.03,0,0,3.03,18.18,7.58,3.03,7.58,3.03,3.03,1.52,0,0,0,1.52,0,3.03,3.03,0,0,0,0,0,1.52,1.52,0,0,3.03
224151,3.3,3.3,0,0,0,0,7.69,1.1,0,0,1.1,7.69,3.3,2.2,0,2.2,0,2.2,4.4,0,0,4.4,0,0,1.1,0,0,0,0,0
227332,2.86,0,2.86,0,0,1.43,7.14,0,0,0,4.29,8.57,0,0,2.86,4.29,0,2.86,5.71,1.43,0,2.86,0,1.43,0,0,0,0,0,0
227637,4.35,4.35,0,0,0,0,13.04,0,0,0,6.52,10.87,2.17,4.35,0,2.17,2.17,2.17,4.35,0,2.17,2.17,0,0,2.17,0,2.17,2.17,0,0
227968,0,0,0,0,0,0,3.08,0,0,0,0,9.23,1.54,3.08,0,3.08,1.54,3.08,3.08,0,0,3.08,0,0,12.31,0,0,0,0,0
231171,0,0,0,0,0,0,3.77,0,0,0,0,3.77,0,0,1.89,1.89,0,3.77,3.77,1.89,0,0,0,1.89,0,0,0,0,0,0
233812,3.45,3.45,0,0,0,0,6.9,0,0,0,0,6.9,6.9,0,0,0,0,0,3.45,0,3.45,0,0,0,6.9,6.9,0,0,0,0
234388,0,0,0,0,0,0,0,0,0,0,0,10,4.29,4.29,0,1.43,0,0,5.71,0,2.86,2.86,0,0,1.43,0,0,0,0,0
234811,7.69,7.69,0,0,0,0,8.97,0,0,0,0,6.41,0,1.28,0,5.13,0,3.85,5.13,0,3.85,1.28,3.85,0,8.97,0,1.28,5.13,0,0
235089,0,0,0,0,0,0,4.44,0,0,0,2.22,22.22,6.67,11.11,0,6.67,0,0,4.44,0,0,2.22,2.22,0,4.44,0,0,2.22,0,0
243761,1.15,0,1.15,0,1.15,0,5.75,0,0,0,4.6,2.3,1.15,0,1.15,0,0,0,9.2,1.15,0,8.05,0,0,6.9,0,0,0,0,3.45
261680,0,0,0,0,0,0,23.81,7.14,0,9.52,0,7.14,0,0,0,0,0,7.14,14.29,7.14,4.76,2.38,0,0,2.38,2.38,0,0,0,0
273124,2.7,0,2.7,0,0,2.7,2.7,0,0,0,2.7,2.7,0,0,0,2.7,0,0,2.7,0,2.7,0,2.7,0,0,0,0,2.7,0,0
275049,10,10,0,0,0,0,3.33,0,0,0,0,13.33,0,3.33,0,6.67,3.33,3.33,10,0,10,0,10,0,16.67,6.67,0,0,0,0
275610,10.71,10.71,0,0,0,0,7.14,0,0,0,3.57,6.25,0,0,0.89,2.68,1.79,2.68,12.5,1.79,9.82,0.89,3.57,0,1.79,0.89,0,0,0,0
278863,3.33,3.33,0,0,0,0,5,0,0,0,3.33,5,1.67,3.33,0,0,0,1.67,5,1.67,0,1.67,0,1.67,0,6.67,0,0,0,0
287000,0,0,0,0,0,0,8.82,6.86,0,0,0.98,0,0,0,0,0,0,0,7.84,3.92,0,3.92,0,0,0,0,0,0,0,0
288028,8.51,8.51,0,0,0,0,5.32,0,0,0,4.26,2.13,1.06,0,0,0,1.06,0,15.96,0,9.57,11.7,4.26,0,10.64,1.06,0,1.06,0,0
290091,1.85,1.85,0,0,0,0,1.85,0,0,0,1.85,11.11,5.56,1.85,0,1.85,0,1.85,3.7,0,3.7,1.85,1.85,0,1.85,1.85,0,1.85,0,0
290775,11.11,11.11,0,0,0,0,3.7,0,0,0,3.7,3.7,0,3.7,0,0,0,0,18.52,0,11.11,14.81,11.11,0,7.41,3.7,0,0,0,0
290779,9.76,4.88,4.88,0,2.44,2.44,9.76,0,0,0,0,4.88,0,0,0,2.44,0,2.44,12.2,0,7.32,4.88,7.32,0,7.32,0,0,2.44,0,0
290830,4.82,4.82,0,0,0,0,7.23,0,0,0,4.82,7.23,1.2,1.2,0,2.41,1.2,1.2,9.64,0,4.82,6.02,3.61,0,3.61,4.82,0,0,1.2,0
292021,1.32,0,1.32,0,1.32,0,9.21,0,3.95,1.32,1.32,3.95,1.32,0,0,0,1.32,1.32,3.95,0,0,3.95,0,0,1.32,0,0,1.32,0,2.63
294347,0,0,0,0,0,0,3.77,0,1.89,0,1.89,1.89,0,0,0,1.89,0,0,3.77,0,0,3.77,0,0,1.89,1.89,0,5.66,0,0
295135,0,0,0,0,0,0,7.41,0,0,0,0,3.7,1.85,1.85,0,0,0,0,3.7,1.85,0,1.85,0,0,0,1.85,0,0,0,0
295415,3.03,3.03,0,0,0,0,0,0,0,0,0,6.06,0,3.03,0,3.03,0,0,9.09,0,6.06,9.09,3.03,0,3.03,3.03,0,0,0,0
297494,5.88,5.88,0,0,0,0,1.96,0,0,0,0,9.8,0,0,0,5.88,0,3.92,5.88,0,5.88,0,3.92,0,7.84,1.96,0,5.88,0,0
297970,2.08,0,2.08,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,2.08,0,0,4.17,0,0,2.08,0,0
300122,1.82,1.82,0,0,0,0,7.27,1.82,0,0,5.45,1.82,1.82,0,0,0,0,0,5.45,1.82,3.64,0,0,0,1.82,1.82,0,0,0,0
300387,5.97,5.97,0,0,0,0,2.99,0,0,0,0,2.99,0,1.49,0,1.49,0,0,11.94,7.46,7.46,1.49,2.99,0,8.96,7.46,0,1.49,0,0
304916,0,0,0,0,0,0,7.14,0,0,0,2.38,4.76,0,0,2.38,2.38,0,0,2.38,0,0,0,2.38,0,4.76,0,0,7.14,0,0
317467,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
