Filename,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
15443,0,0,0,0,0,0,8.93,0,0,0,3.57,5.36,3.57,1.79,0,0,0,0,3.57,1.79,1.79,0,0,0,12.5,1.79,0,3.57,0,0
16555,3.28,1.64,1.64,0,1.64,0,8.2,1.64,0,3.28,1.64,1.64,0,0,0,0,0,1.64,4.92,3.28,0,1.64,0,0,0,0,0,0,0,0
17114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17346,0,0,0,0,0,0,6.56,3.28,0,0,0,9.84,0,1.64,0,6.56,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0
17751,2.38,2.38,0,0,0,0,2.38,0,0,0,0,2.38,0,0,0,2.38,0,2.38,4.76,0,2.38,2.38,0,0,4.76,0,0,0,0,0
18044,1.23,0,1.23,0.61,0,0.61,3.68,0,0,1.84,1.23,8.59,1.23,1.84,0,4.91,0,2.45,1.84,0,0,1.84,0,0,4.29,0,0,0,0,0
18190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,2.56,0,0
18890,2.38,0,2.38,0,0,2.38,14.29,0,0,0,0,4.76,2.38,0,0,2.38,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0
21603,5.13,2.56,2.56,0,0,0,25.64,7.69,0,0,0,7.69,0,0,0,2.56,2.56,5.13,5.13,2.56,0,5.13,0,0,0,0,0,0,0,0
22346,1.59,1.59,0,0,0,0,9.52,0,0,0,2.38,15.08,4.76,5.56,0.79,1.59,0.79,2.38,4.76,0,0,1.59,0,3.17,4.76,0,0,0.79,0,0
27058,0,0,0,0,0,0,0,0,0,0,0,10.34,3.45,0,0,6.9,0,0,6.9,0,3.45,3.45,0,0,3.45,3.45,0,0,0,0
27303,1.79,0,1.79,0,1.79,0,3.57,0,0,0,1.79,7.14,1.79,0,0,1.79,1.79,1.79,5.36,0,1.79,5.36,0,0,0,0,0,0,0,0
28181,3.23,3.23,0,0,0,0,9.68,0,0,3.23,3.23,3.23,0,0,0,3.23,0,0,3.23,0,0,3.23,0,0,3.23,0,0,0,0,0
28651,4.96,4.13,0.83,0.83,0,0,12.4,0,0,4.96,4.96,8.26,0.83,0,4.13,1.65,0,1.65,8.26,0.83,2.48,4.13,0,0.83,0,0,0,0,0,0
29376,6,6,0,0,0,0,10,2,2,0,0,4,0,0,0,4,0,4,8,6,0,2,0,0,6,8,2,4,2,0
29626,0,0,0,0,0,0,0,0,0,0,0,5.13,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30424,0,0,0,0,0,0,2.78,0,0,1.39,0,2.78,1.39,0,0,1.39,0,0,5.56,0,0,5.56,0,0,1.39,0,0,0,0,0
30662,1.72,0,1.72,0,0,1.72,8.62,0,0,1.72,1.72,3.45,1.72,0,0,0,0,1.72,12.07,0,5.17,6.9,0,1.72,0,0,0,0,0,0
31371,7.32,4.88,2.44,2.44,0,0,9.76,4.88,0,2.44,0,21.95,0,2.44,4.88,7.32,0,12.2,2.44,0,2.44,2.44,2.44,0,0,0,0,0,0,0
31543,2.13,2.13,0,0,0,0,14.89,0,0,4.26,4.26,8.51,0,2.13,0,2.13,0,6.38,0,0,0,0,0,0,4.26,0,0,0,0,0
37031,0,0,0,0,0,0,5.56,0,0,2.22,0,8.89,0,1.11,0,3.33,1.11,3.33,3.33,0,2.22,1.11,1.11,0,0,1.11,0,0,0,0
38298,1.23,0,1.23,0,0,1.23,7.41,0,0,2.47,0,12.35,1.23,1.23,2.47,4.94,0,6.17,11.11,2.47,1.23,6.17,0,1.23,2.47,0,0,0,0,0
38396,2.5,2.5,0,0,0,0,7.5,0,0,2.5,2.5,5,0,0,5,0,0,0,17.5,2.5,0,12.5,0,2.5,2.5,0,0,0,0,0
38986,2.38,0,2.38,0,0,1.19,13.1,4.76,0,0,0,8.33,4.76,0,2.38,1.19,1.19,1.19,10.71,3.57,2.38,2.38,0,2.38,4.76,2.38,2.38,8.33,0,0
40051,2.22,2.22,0,0,0,0,0,0,0,0,0,2.22,0,0,0,2.22,0,0,2.22,0,2.22,0,0,0,15.56,0,4.44,6.67,0,0
43994,0,0,0,0,0,0,3.39,0,0,3.39,0,13.56,1.69,1.69,5.08,3.39,1.69,5.08,0,0,0,0,0,0,1.69,1.69,0,5.08,0,0
44686,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,4.55,0,4.55,4.55,0,4.55,0,0,0,0,0,0,0,0,0
46566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46770,2.7,2.7,0,0,0,0,0,0,0,0,0,10.81,0,2.7,0,8.11,0,2.7,2.7,0,0,2.7,0,0,5.41,0,0,2.7,0,0
47542,0,0,0,0,0,0,21.57,0,0,7.84,5.88,9.8,1.96,3.92,0,1.96,0,1.96,5.88,3.92,1.96,0,0,0,0,1.96,0,0,0,0
49645,7.69,1.92,5.77,0,0,5.77,7.69,1.92,1.92,0,0,9.62,1.92,0,0,7.69,0,5.77,1.92,1.92,0,0,0,0,1.92,0,0,0,0,0
51768,4.41,2.94,1.47,0,0,0.74,8.09,0,0,1.47,0,3.68,0,0,0.74,2.21,0,1.47,6.62,1.47,0.74,2.94,2.21,0.74,3.68,0.74,0.74,0.74,0,0
52156,8.65,8.65,0,0,0,0,12.43,4.86,0,0,1.08,8.11,0,1.08,3.24,3.78,1.62,4.32,12.43,1.62,5.95,3.24,8.65,0,1.08,0,0,0,0,0
54040,21.88,6.25,9.38,6.25,0,0,6.25,0,0,0,0,18.75,3.12,6.25,0,6.25,0,3.12,6.25,3.12,0,0,0,3.12,0,0,0,0,0,0
56594,0,0,0,0,0,0,11.11,0,0,2.78,2.78,8.33,2.78,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58409,0,0,0,0,0,0,8.77,0,0,0,0,3.51,1.75,0,1.75,1.75,0,1.75,1.75,0,0,1.75,0,0,1.75,0,0,0,0,0
60303,0,0,0,0,0,0,1.72,0,0,0,0,3.45,0,0,0,1.72,1.72,0,6.9,0,0,5.17,1.72,0,0,0,0,0,0,0
60721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62738,1.72,0,1.72,0,0,0,5.17,5.17,0,0,0,13.79,1.72,0,1.72,5.17,1.72,5.17,1.72,0,1.72,0,0,0,3.45,0,0,0,0,0
62817,3.66,3.66,0,0,0,0,7.32,0,0,0,0,8.54,0,1.22,1.22,6.1,0,2.44,8.54,1.22,2.44,6.1,1.22,1.22,3.66,0,0,0,0,0
62831,2.86,2.86,0,0,0,0,12.38,0,0,0,0,8.57,4.76,0,0,2.86,0,1.9,7.62,0.95,2.86,3.81,0,0.95,14.29,0,0,0.95,0,0
63032,3.51,1.75,1.75,0,0,1.75,15.79,7.02,0,7.02,0,14.04,1.75,5.26,0,5.26,1.75,1.75,7.02,0,0,1.75,5.26,0,3.51,0,0,0,0,0
63801,16.95,11.86,5.08,1.69,0,0,8.47,0,0,0,0,3.39,0,0,0,3.39,0,1.69,15.25,0,1.69,10.17,5.08,0,0,0,0,0,0,0
63814,2.22,0,2.22,1.11,0,1.11,11.11,0,0,1.11,0,6.67,4.44,2.22,0,0,1.11,0,7.78,1.11,0,3.33,3.33,0,4.44,0,0,0,0,0
64297,2.63,2.63,0,0,0,0,10.53,2.63,0,2.63,0,2.63,0,0,0,2.63,0,0,5.26,0,0,5.26,0,0,2.63,0,0,0,0,0
64418,14.67,5.33,9.33,4,1.33,1.33,9.33,0,0,0,0,9.33,2.67,4,2.67,1.33,1.33,1.33,16,1.33,2.67,2.67,6.67,6.67,0,0,0,0,0,1.33
64528,3.03,1.52,1.52,0,1.52,0,24.24,4.55,0,3.03,0,10.61,0,0,3.03,6.06,3.03,3.03,12.12,0,1.52,7.58,3.03,0,4.55,0,0,1.52,0,0
64709,5.66,0,5.66,1.89,0,0,18.87,5.66,1.89,3.77,0,9.43,0,1.89,0,5.66,0,1.89,7.55,0,0,0,1.89,5.66,0,0,0,0,0,0
65766,4.88,0,4.88,2.44,0,2.44,0,0,0,0,0,2.44,2.44,2.44,0,0,0,0,4.88,2.44,0,2.44,0,0,2.44,0,0,0,0,0
67681,0,0,0,0,0,0,23.17,0,0,10.98,3.66,7.32,3.66,4.88,1.22,0,0,2.44,2.44,0,0,2.44,0,0,6.1,6.1,0,0,0,0
68074,6.25,6.25,0,0,0,0,3.12,0,0,0,0,6.25,0,0,3.12,3.12,0,0,12.5,3.12,3.12,9.38,3.12,0,3.12,0,0,0,0,0
68095,0,0,0,0,0,0,8.16,4.08,0,0,0,22.45,0,14.29,0,6.12,0,2.04,2.04,0,0,2.04,0,0,0,0,0,0,0,0
68422,0,0,0,0,0,0,6.25,0,0,0,2.08,14.58,4.17,2.08,0,2.08,4.17,4.17,10.42,2.08,0,0,8.33,0,4.17,0,0,0,0,0
68423,0,0,0,0,0,0,1.61,0,0,0,0,8.06,3.23,0,1.61,1.61,1.61,0,6.45,0,3.23,3.23,0,0,11.29,0,0,0,0,0
68781,15.69,1.96,13.73,9.8,0,1.96,17.65,5.88,0,3.92,1.96,3.92,0,0,1.96,0,0,1.96,9.8,0,3.92,1.96,0,3.92,1.96,5.88,0,0,0,0
70741,10.53,6.58,3.95,1.32,2.63,0,3.95,0,0,0,0,5.26,0,1.32,1.32,2.63,0,2.63,7.89,2.63,2.63,2.63,1.32,1.32,0,0,0,0,0,1.32
71275,0,0,0,0,0,0,7.23,0,0,2.41,2.41,15.66,0,3.61,2.41,4.82,0,4.82,3.61,0,0,0,3.61,0,2.41,0,0,0,0,0
71471,8.97,1.28,7.69,2.56,0,0,15.38,3.85,0,3.85,0,6.41,0,2.56,1.28,1.28,1.28,0,14.1,0,0,7.69,0,6.41,3.85,0,2.56,0,0,0
71671,5.77,5.77,0,0,0,0,0,0,0,0,0,11.54,1.92,7.69,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0
71907,9.86,4.23,5.63,0,0,0,0,0,0,0,0,8.45,1.41,2.82,0,2.82,0,1.41,12.68,1.41,2.82,7.04,0,1.41,5.63,1.41,0,0,0,0
72123,12.24,0,8.16,0,0,0,4.08,0,0,0,0,12.24,0,8.16,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72646,4.17,0,4.17,2.08,0,2.08,4.17,4.17,0,0,0,14.58,2.08,4.17,2.08,4.17,0,4.17,2.08,0,0,2.08,0,0,0,0,0,0,0,0
72733,2.56,2.56,0,0,0,0,5.13,0,0,2.56,0,7.69,0,0,0,0,5.13,2.56,7.69,0,0,5.13,0,2.56,2.56,0,0,0,0,0
72965,0,0,0,0,0,0,0,0,0,0,0,13.21,3.77,0,0,5.66,0,3.77,5.66,0,1.89,3.77,0,0,0,0,0,0,0,0
73343,0,0,0,0,0,0,16.67,0,0,1.67,0,16.67,1.67,3.33,1.67,8.33,0,6.67,3.33,3.33,0,0,0,0,0,3.33,0,0,0,0
73942,9.76,0,9.76,7.32,0,2.44,12.2,4.88,0,2.44,0,9.76,0,2.44,0,4.88,2.44,0,4.88,0,2.44,2.44,0,0,4.88,0,0,0,0,0
73964,11.76,0,8.82,5.88,0,0,14.71,0,0,2.94,2.94,11.76,2.94,2.94,0,5.88,0,0,5.88,0,2.94,2.94,0,0,5.88,0,0,0,0,0
74248,1.79,0,1.79,0,0,0,3.57,0,0,0,0,7.14,0,0,0,7.14,0,3.57,5.36,0,0,3.57,0,1.79,3.57,0,0,0,0,0
74276,2.08,0,2.08,0,0,0,6.25,2.08,0,0,0,16.67,4.17,0,2.08,4.17,4.17,4.17,6.25,0,0,4.17,0,2.08,4.17,0,0,0,0,0
74491,1.61,1.61,0,0,0,0,12.9,3.23,0,3.23,0,4.84,0,0,3.23,1.61,0,3.23,4.84,3.23,0,1.61,1.61,0,0,0,0,3.23,0,0
75735,11.63,4.65,6.98,4.65,0,0,9.3,4.65,0,4.65,0,13.95,2.33,0,2.33,6.98,2.33,6.98,11.63,0,0,4.65,0,6.98,4.65,0,0,2.33,0,2.33
76893,2.13,2.13,0,0,0,0,12.77,6.38,0,2.13,0,4.26,0,0,0,2.13,2.13,0,8.51,2.13,4.26,4.26,4.26,0,8.51,4.26,0,2.13,0,0
77100,8.62,8.62,0,0,0,0,25.86,3.45,3.45,3.45,1.72,8.62,0,0,0,5.17,3.45,0,13.79,6.9,1.72,1.72,3.45,0,1.72,5.17,0,0,0,0
77266,0,0,0,0,0,0,4.08,0,0,0,0,14.29,2.04,0,0,8.16,2.04,4.08,4.08,0,0,4.08,0,0,0,0,0,0,0,0
77460,14.29,14.29,0,0,0,0,28.57,2.86,0,17.14,0,5.71,2.86,0,0,0,2.86,0,17.14,2.86,2.86,5.71,5.71,0,0,0,2.86,0,0,0
77747,2.04,2.04,0,0,0,0,6.12,2.04,0,0,0,12.24,0,0,2.04,6.12,2.04,4.08,4.08,0,0,2.04,2.04,0,2.04,0,0,0,0,0
77955,0,0,0,0,0,0,10.53,0,0,5.26,2.63,5.26,0,2.63,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0
78142,1.96,1.96,0,0,0,0,11.76,0,0,3.92,0,19.61,1.96,1.96,0,11.76,0,5.88,1.96,0,0,1.96,0,0,5.88,0,0,0,0,0
78184,4.17,2.08,2.08,2.08,0,0,8.33,0,0,0,0,8.33,2.08,0,2.08,0,0,4.17,4.17,0,2.08,0,0,2.08,0,2.08,0,0,0,0
79992,0,0,0,0,0,0,13.33,3.33,0,0,0,20,0,6.67,0,6.67,0,6.67,3.33,0,0,0,0,3.33,0,0,0,0,0,0
80044,3.92,3.92,0,0,0,0,7.84,0,0,0,0,15.69,0,0,0,1.96,3.92,11.76,7.84,0,0,0,5.88,1.96,0,0,0,0,0,0
80046,5.19,5.19,0,0,0,0,3.9,1.3,0,0,0,12.99,2.6,2.6,1.3,3.9,5.19,2.6,3.9,0,0,1.3,1.3,1.3,1.3,0,0,0,0,0
80095,7.32,2.44,4.88,4.88,0,0,12.2,9.76,0,0,0,24.39,7.32,9.76,2.44,7.32,0,4.88,14.63,2.44,4.88,0,2.44,4.88,2.44,0,0,0,0,0
80507,6.41,3.85,2.56,0,0,0,5.13,0,1.28,0,0,6.41,0,3.85,0,1.28,1.28,0,8.97,2.56,1.28,0,1.28,3.85,2.56,0,1.28,0,0,0
80722,5.08,3.39,1.69,1.69,0,0,5.08,5.08,0,0,0,10.17,1.69,5.08,0,0,0,3.39,6.78,0,0,1.69,0,5.08,3.39,0,0,0,0,0
81766,1.03,0,1.03,0,0,0,1.03,0,0,0,0,13.4,1.03,4.12,1.03,5.15,0,3.09,1.03,0,0,0,0,1.03,0,0,0,0,0,0
82756,7.69,7.69,0,0,0,0,15.38,0,0,0,0,8.55,0,0,2.56,6.84,0.85,2.56,8.55,1.71,1.71,1.71,4.27,0,9.4,0,2.56,6.84,0,0
82957,2.82,2.82,0,0,0,0,11.27,5.63,0,1.41,0,11.27,2.82,0,2.82,1.41,4.23,0,8.45,5.63,0,2.82,0,0,2.82,1.41,1.41,1.41,0,0
83093,4,4,0,0,0,0,8,0,0,0,4,4,0,0,0,0,0,4,12,4,4,4,0,0,8,0,0,0,0,0
83373,4.6,3.45,1.15,0,1.15,0,8.05,1.15,0,6.9,0,1.15,0,1.15,0,0,0,0,4.6,2.3,2.3,2.3,0,0,2.3,6.9,0,0,0,0
83451,2.16,2.16,0,0,0,0,7.91,2.16,0,2.16,0,2.88,0.72,0,0,0.72,1.44,0.72,5.76,4.32,1.44,0.72,0.72,0,2.88,3.6,0,0,0,0
83563,12.5,12.5,0,0,0,0,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,12.5,0,0,0,0
84449,1.85,1.85,0,0,0,0,0,0,0,0,0,12.96,1.85,3.7,0,5.56,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0
85095,1.72,0,1.72,0,0,0,3.45,0,0,3.45,0,12.07,1.72,6.9,0,1.72,0,3.45,1.72,0,0,0,0,1.72,1.72,0,0,0,0,0
86021,0,0,0,0,0,0,12.2,2.44,0,3.66,1.22,7.32,1.22,1.22,0,2.44,0,3.66,1.22,1.22,0,0,0,0,1.22,0,0,0,0,0
86437,5.1,5.1,0,0,0,0,14.29,7.14,0,0,0,21.43,2.04,9.18,1.02,1.02,8.16,1.02,5.1,0,0,2.04,3.06,0,12.24,0,0,0,0,0
86478,5,0,5,1.67,0,3.33,8.33,0,0,1.67,0,10,1.67,1.67,0,5,0,1.67,8.33,1.67,3.33,3.33,0,3.33,5,1.67,0,0,0,0
87019,7.55,0,7.55,5.66,0,1.89,9.43,1.89,0,5.66,1.89,15.09,0,9.43,0,3.77,0,1.89,5.66,1.89,1.89,1.89,0,0,3.77,1.89,1.89,0,0,0
87287,10.31,2.06,8.25,3.09,0,4.12,6.19,1.03,0,1.03,0,17.53,5.15,4.12,0,6.19,1.03,4.12,9.28,1.03,6.19,2.06,0,4.12,2.06,0,0,0,0,1.03
88956,0,0,0,0,0,0,2.08,2.08,0,0,0,14.58,0,10.42,2.08,2.08,0,2.08,8.33,0,0,8.33,0,0,0,0,0,0,0,0
89072,5.21,0,5.21,0,0,5.21,9.38,2.08,0,3.12,2.08,12.5,2.08,4.17,0,6.25,1.04,1.04,11.46,2.08,6.25,1.04,1.04,7.29,0,2.08,2.08,0,0,0
89143,4,0,4,2,0,0,8,0,0,2,0,8,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
89226,4.69,0,4.69,0,0,1.56,0,0,0,0,0,12.5,0,1.56,1.56,6.25,1.56,6.25,3.12,0,3.12,0,0,1.56,0,0,0,0,0,0
89406,0,0,0,0,0,0,4.26,0,0,2.13,0,4.26,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,1.67,0,0,0,0,0,13.33,0,0
92367,2.17,0,2.17,0,0,0,13.04,0,2.17,8.7,0,13.04,4.35,2.17,0,4.35,0,4.35,10.87,4.35,0,6.52,0,0,4.35,4.35,2.17,2.17,0,4.35
97352,10.2,10.2,0,0,0,0,16.33,2.04,0,2.04,0,12.24,0,4.08,2.04,8.16,0,4.08,10.2,2.04,2.04,4.08,0,2.04,2.04,0,0,0,0,0
99267,9.88,1.23,8.64,4.94,3.7,0,6.17,0,0,0,0,11.11,2.47,1.23,1.23,3.7,2.47,2.47,2.47,0,1.23,1.23,0,0,1.23,0,0,0,0,0
99271,5.26,0,5.26,3.95,0,2.63,5.26,0,1.32,0,0,9.21,3.95,0,2.63,2.63,0,2.63,7.89,1.32,1.32,3.95,1.32,0,0,0,1.32,0,0,0
106148,2.67,2.67,0,0,0,0,4,0,0,0,0,8,0,1.33,4,6.67,0,2.67,2.67,0,0,0,2.67,0,6.67,0,0,10.67,0,0
108905,0,0,0,0,0,0,28,8,0,18,0,6,0,4,0,4,0,2,12,8,0,2,2,0,0,4,2,8,0,0
111237,1.47,0,1.47,0,0,1.47,5.88,0,0,2.94,0,8.82,0,1.47,0,4.41,0,5.88,4.41,0,0,4.41,0,0,1.47,1.47,0,7.35,0,0
111723,2.97,0,2.97,0.99,0,0,5.94,0,0,0,1.98,13.86,3.96,2.97,2.97,6.93,0,2.97,5.94,0,0,4.95,0,0.99,0.99,0,0,0,0,0
114666,0,0,0,0,0,0,11.29,3.23,0,1.61,0,8.06,1.61,0,1.61,6.45,0,4.84,1.61,0,0,1.61,0,0,4.84,0,0,0,0,0
114853,1.96,1.96,0,0,0,0,5.88,0,0,0,0,13.73,1.96,5.88,0,5.88,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0
118988,4.08,0,4.08,2.04,0,0,12.24,2.04,0,4.08,0,20.41,4.08,0,0,10.2,2.04,6.12,2.04,0,0,0,0,2.04,0,0,0,0,0,0
122708,0,0,0,0,0,0,7.14,3.57,0,1.79,3.57,3.57,0,0,0,1.79,0,1.79,3.57,0,1.79,3.57,0,0,0,0,0,0,0,0
124254,0,0,0,0,0,0,27.63,6.58,0,13.16,2.63,6.58,3.95,1.32,0,1.32,0,1.32,10.53,6.58,0,1.32,2.63,0,0,0,0,0,0,0
127670,0,0,0,0,0,0,7.04,0,0,2.82,0,14.08,4.23,1.41,1.41,4.23,0,4.23,2.82,0,0,2.82,0,0,0,0,0,0,0,0
129218,0,0,0,0,0,0,23.08,9.62,1.92,1.92,1.92,13.46,1.92,1.92,0,5.77,0,5.77,21.15,13.46,7.69,0,0,0,15.38,0,0,0,0,0
136466,0,0,0,0,0,0,5.56,2.78,0,0,0,8.33,2.78,0,0,5.56,0,2.78,2.78,2.78,0,0,0,0,0,2.78,2.78,0,0,0
138787,0,0,0,0,0,0,2.17,0,0,0,0,2.17,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0
142039,2.44,0,2.44,2.44,0,0,14.63,9.76,0,0,0,9.76,7.32,0,0,0,2.44,0,0,0,0,0,0,0,2.44,0,0,0,0,0
142592,0,0,0,0,0,0,13.51,0,0,0,2.7,5.41,2.7,0,0,2.7,0,0,10.81,0,8.11,8.11,0,2.7,0,0,0,0,0,0
143019,3.39,3.39,0,0,0,0,3.39,0,0,3.39,0,13.56,1.69,1.69,0,8.47,1.69,1.69,3.39,0,0,3.39,0,0,1.69,0,0,0,0,0
143025,6.9,6.9,0,0,0,0,12.07,0,1.72,3.45,1.72,1.72,0,1.72,0,0,0,0,10.34,1.72,3.45,3.45,3.45,0,1.72,1.72,0,1.72,0,0
143838,2.56,2.56,0,0,0,0,7.69,0,0,0,0,2.56,0,0,0,2.56,0,0,5.13,2.56,0,2.56,0,0,5.13,0,0,0,0,0
144063,3.85,3.85,0,0,0,0,3.85,0,0,0,0,9.62,1.92,5.77,0,1.92,0,0,5.77,0,3.85,5.77,0,0,9.62,1.92,0,0,0,0
144317,0,0,0,0,0,0,4.76,0,0,0,0,14.29,4.76,4.76,0,4.76,0,0,14.29,0,4.76,9.52,2.38,0,9.52,0,0,0,0,2.38
144857,2.08,0,2.08,0,2.08,0,20.83,6.25,0,8.33,0,2.08,2.08,0,0,0,0,0,12.5,6.25,2.08,2.08,2.08,0,4.17,2.08,0,0,0,0
151547,2.63,0,2.63,0,0,0,2.63,0,0,0,0,15.79,0,2.63,0,10.53,0,10.53,7.89,2.63,2.63,2.63,0,0,0,0,0,0,0,0
155054,3.12,0,3.12,0,3.12,0,9.38,0,0,0,0,31.25,6.25,9.38,3.12,9.38,3.12,9.38,15.62,3.12,0,9.38,3.12,6.25,3.12,0,0,0,0,0
156020,4.48,1.49,2.99,1.49,1.49,0,19.4,2.99,0,2.99,0,8.96,1.49,1.49,4.48,2.99,0,4.48,8.96,4.48,0,1.49,1.49,2.99,1.49,2.99,0,0,0,0
156299,5.65,0,5.65,0,0,2.42,2.42,0,0,0,0,14.52,0.81,1.61,4.03,10.48,0,8.87,3.23,0,0.81,2.42,0,0,0,0,0,0,0,0
156379,0,0,0,0,0,0,10.42,0,0,2.08,0,4.17,2.08,0,0,0,4.17,0,6.25,2.08,0,2.08,2.08,0,2.08,4.17,0,0,0,0
157068,2.13,1.28,0.85,0.43,0,0,8.51,0,0,0,0.43,14.47,2.13,0.85,5.11,2.55,0.85,5.11,5.11,0,0,2.13,2.55,0.43,7.66,0,0,0,0,0
158509,6.25,4.69,1.56,1.56,0,0,18.75,4.69,0,0,0,7.81,4.69,3.12,0,1.56,0,0,4.69,1.56,0,4.69,0,0,1.56,1.56,0,0,0,0
158726,12.31,10.77,1.54,1.54,0,0,1.54,0,0,0,0,7.69,0,0,0,0,4.62,3.08,0,0,0,0,0,0,0,0,0,3.08,0,0
159253,8.77,0,8.77,1.75,1.75,1.75,8.77,0,0,0,0,21.05,5.26,5.26,5.26,8.77,1.75,5.26,5.26,0,0,0,0,5.26,0,0,0,0,1.75,0
159390,0,0,0,0,0,0,11.9,0,0,7.14,0,7.14,2.38,0,0,0,2.38,2.38,4.76,2.38,2.38,2.38,0,0,0,2.38,0,0,0,0
